rank,team,country,score
1,yuh,Australia,213845
2,Negative Eevee,Netherlands,211240
3,Vibing,Australia,209841
4,Seven Deuce Capital,United States,208281
5,DU Trading,United Kingdom,208206
6,DU Market Makers,United Kingdom,207536
7,The Big Posteriors,United States,207376
8,DU Quant,United Kingdom,207310
9,Une Baguette Fromage,Netherlands,207308
10,DU Trading Desk,United Kingdom,207286
11,optieverhandelaaren,United States,206581
12,Flowstate,United States,206190
13,Prosperity Crushers,Australia,205792
14,broke like joc,Australia,205728
15,Hexatech,United Kingdom,205619
16,prosperity 2 man,Australia,205586
17,DU Market Making,United Kingdom,205534
18,guan,United Kingdom,205367
19,ShrimpTrading,Poland,205347
20,72 Sigma,United States,205284
21,63-bit integers,Australia,204923
22,Exodia,Canada,204851
23,DannyNegru,India,204679
24,nema problema ovde,Serbia,204396
25,porridge,United States,204126
26,Arcadia 2,Italy,203995
27,Open for Quant Jobs,Switzerland,203861
28,BASTION,Australia,203419
29,John Slope,United States,203243
30,gacrux,Australia,203099
31,final position 10 at 15,Australia,203073
32,Algoholicz,India,202521
33,BlackSouls,India,202239
34,fenn,United States,202036
35,CCC_v2,United States,201835
36,Jaded,United States,201738
37,CarbonBlack,India,200980
38,Infinity Stones,India,200940
39,cRashCrafters,Germany,200388
40,Gorlock,India,200159
41,Myname,India,200136
42,second_best,United States,200039
43,Space Monkeys,India,199705
44,Cosmic Latte,India,199704
45,Alien,Germany,199535
46,Euporia,United States,199429
47,drunken noodles,United States,199274
48,abacus,United States,199213
49,TUMorrow Traders,Germany,198940
50,Beauty Hunters,Switzerland,198746
51,DCJ9,United States,198672
52,Poverty,India,198670
53,TatooineTraders,Switzerland,198513
54,Meiji Restoration,Australia,198376
55,ICT Mogged,Australia,198372
56,Yin,Hong Kong,198365
57,WanderingTraders,Austria,198175
58,HATSK,United States,198035
59,BelmonteHunters,Switzerland,197912
60,Caustic Orbifold,Philippines,197899
61,kumon,Indonesia,197767
62,CUATS 2,United Kingdom,197700
63,1112233,Taiwan,197526
64,test1,United Kingdom,197398
65,Solarflare,Germany,197110
66,Vega,Spain,196691
67,Uvic lions,Canada,196400
68,unknownpophaha,Australia,196200
69,Waterloo Courtsiders,Canada,196176
70,Alphito,Spain,196167
71,AgentLab,China,196135
72,Keble Kwants,United Kingdom,196086
73,Silence of the Alphas,Italy,195922
74,Twisted Minds,India,195575
75,Jane Avenue,United States,195471
76,Margin Call Mafia,India,195426
77,PMQuants,Portugal,195276
78,Secret Sauce,United States,195187
79,dih,United Kingdom,194947
80,RealCityScape,Denmark,194769
81,bear,United States,194524
82,XIREC Collectors,Colombia,194455
83,Centrale Alpha Fund,France,194355
84,Roots Ocean Prime,China,194140
85,OntarioStreet700,Hong Kong,194053
86,Gautam,United States,194034
87,Dream Team,United States,194009
88,psrbot,Australia,193934
89,Alpha Search Team,United Kingdom,193893
90,Saksham Arora,India,193687
91,Qu4nt D3stroy3rs,United States,193607
92,derMiro,Croatia,193585
93,team team team,United Kingdom,193581
94,The Arbitrage Goats,United States,193546
95,Tayaya Trading,Brazil,193479
96,PowderDays,Austria,193453
97,Oracles of Delphi,United States,193436
98,Meiji,United Kingdom,193435
99,Stop the Birds,Austria,193342
100,The Vega Games,Australia,193300
101,GUDG,Sweden,193132
102,A manger,United Kingdom,193100
103,JackOfHearts,Austria,193078
104,The Mountain Goats,United Kingdom,193071
105,TTG,United States,193009
106,Geezers of the Galaxy,Ireland,192961
107,Berkeley x Stanford,United States,192955
108,Mamba In,United States,192941
109,Frankfurt_Hedgehawk,Germany,192940
110,Hyenas,India,192693
111,Who is weady to wumble,Australia,192690
112,X Liquidity Providers,Italy,192650
113,Whim,India,192528
114,Pluto,Germany,192444
115,yurtles,United States,192312
116,les bassemitos,France,192262
117,The barn,France,192245
118,Silence of the Lambdas,Italy,192239
119,Peaky Minors,Hong Kong,192212
120,Tundra-wawa,Australia,192202
121,ras,United States,192181
122,Any Golfers,United States,192177
123,Starkl7,United States,192157
124,thehailmary,India,192115
125,GOLowVol,United Kingdom,192113
126,USYD_No_1,Australia,192090
127,Jinya,France,191987
128,Kebab house,Hong Kong,191945
129,Team Jimmy,United States,191921
130,MikeyTeam,China,191898
131,pink fluffy dumplings,Australia,191862
132,Pabs,Germany,191820
133,Lagrange Multiplier,United Kingdom,191818
134,RT Gamma,United Kingdom,191799
135,Degen Traders,Singapore,191794
136,bugless,United States,191727
137,Draguax,Australia,191697
138,Serenissima Syndicate,Italy,191694
139,crackedexplosion,Australia,191686
140,Farming in Space,Hong Kong,191653
141,Praxis Prodigies,Canada,191651
142,Too_Sigma,India,191621
143,Vegasteroids,France,191612
144,Starmie,United States,191601
145,ahhhhhhhhhhhhh,Australia,191597
146,roorkeepelago,India,191587
147,DECIDED,India,191535
148,chatswood rsl enjoyers,Australia,191524
149,Red Devils,United States,191461
150,Dark Forest Hunter,United States,191461
151,Helicopter Holding,Netherlands,191441
152,Alpha Adventurers,United Kingdom,191438
153,J4offsuit,Austria,191363
154,Patrick David,New Zealand,191338
155,Joomo,South Korea,191323
156,SNUCLS,South Korea,191312
157,Zolu,United States,191286
158,Yale Penguin,United States,191270
159,Crusoim,United States,191259
160,Yellow Alpha,Spain,191250
161,Cyg X-1,Switzerland,191236
162,Satisfactory,India,191110
163,the_alphamakers,China,191075
164,Crispy Carp Capital,Vietnam,191045
165,Blindsight,United Kingdom,191023
166,Gurren Lagann,Netherlands,191008
167,Outsiderss,United Kingdom,191003
168,SatoruGojo,Canada,190998
169,OuterTrojan,United Kingdom,190923
170,Escape Velocity,India,190921
171,Sophisticated Sigmas,United States,190902
172,Arthur y el resto,Chile,190891
173,GoBears,United States,190861
174,Athena123,Australia,190836
175,Interplanetary Invasion,Australia,190793
176,Prosperous Team,India,190783
177,PLVS VLTRA,Spain,190758
178,Zaremar,Sweden,190747
179,SufferingFromProsperity,India,190719
180,Kerbonauts,Switzerland,190717
181,404 Team Not Found,India,190701
182,Jared,United States,190695
183,Birans disciples,Slovakia,190650
184,Plain N Spicy,Netherlands,190573
185,StimulatedPlatypuses,United States,190568
186,trader6767,India,190551
187,MFAMSMC River Trading 2,United States,190534
188,Vienndiagram,Austria,190484
189,TheDunningKrugerEffect,United Kingdom,190482
190,Curly Hair Gang,United Kingdom,190468
191,Dynamic survival,Australia,190436
192,_idk,Australia,190435
193,Siuuuuu,India,190391
194,I love Claude,United States,190385
195,low cortisol traders,United Kingdom,190345
196,Unhedged but Optimistic,Netherlands,190344
197,W_W,Austria,190327
198,Seattle Spread Hawks,Australia,190285
199,Eulers_Tour,India,190244
